name,point
maron🐈‍⬛💗,752920
れな🐟バッキュン子💚,159040
ぼんじり🐥❤,152520
7/28🎂りーぬちゃん🐹🌻,137470
ぐでち。🍳💫,92470
えり🦋,69400
ゆあ🐶🍫,21880
雲雀丘モガ@Vラボ頑張る,0
綾羽アキ🕊️🖌️,0
ばんちょ,0
