name,point
👑イマミオ♏️,2171300
あおい❄️🥂,1362260
初見さんweek🔰maron🐈‍⬛💗,1169340
🍓まろん@美容整体師🌸,887460
7/28🎂りーぬちゃん🐹🌻,859820
れな🐟バッキュン子💚,332270
ぐでち。🍳💫,225390
ぼんじり🐥❤,49060
えり🦋,41980
🐧ryu🥊🐉,0
