name,group,diamond,live_time_sec,battle_ratio,growth_ratio
庵ゆたん,,0,0,,
とろける湯〜奈🫕,,0,0,,
なっきー,,0,0,,
羽馬りんか,,0,0,,0.0
Ruru,,0,0,,
ayakapin,,0,0,,
suzuulive,,0,0,,
さみちゃん,,0,0,,
貧脚お姉さんのあみ🚲🚴🏻‍♀️,,0,0,,
フェムケアゆうみ,,0,0,,
さなまる🐰,,0,0,,
mimi.piccoloflute,,0,0,,
くるくる@一児のﾏﾏ,,0,0,,
tsuintawar0730,,0,0,,
ayaka🥨,,0,0,,
ゆうぴ♡,,0,0,,
まう,,0,0,,
ちりん,,0,0,,
吉屋ゆり27歳,,0,0,,
misapin1027,,0,0,,
綺麗ちゃん,,0,0,,
こなっちゃん,,0,0,,
まい,,0,0,,
あおちゃん,,0,0,,
にゃん,,0,0,,
夜風(よかぜ)🔮🐈‍⬛🌻占い師,,0,0,,
低脂質cooking はる,,0,0,,
勝たんしかまいまい,,0,0,,
トモ,,0,0,,
ちきたん( ˙◊˙ ),,0,0,,0.0
まなぴ,,0,0,,
まる♪3/26〜不定期配信,,0,0,,
ジェラピケの女,,0,0,,
ゆいまーる💛,,0,0,,
ころ,,0,0,,
aiaiai_36,,0,0,,0.0
💄ゆあ🍰🐈,,0,0,,
rio_talk_time,,0,0,,
Ayu1児のママ,,0,0,,
kawa,,0,0,,
あっこ,,0,0,,
心,,0,0,,
hana,,0,0,,
怠惰猫☆,,0,0,,
Lunamosu(ルナモス)🌙* :ﾟ,,0,0,,
池池(いけいけ)推され界隈,,0,0,,
みぽまる,,0,0,,
ことは｜まったりお話🌙,,0,0,,
ひかまるこ,,0,0,,
ゆきめろ,,0,0,,
shoko__reallife,,0,0,,
Akya_Artworks,,0,0,,
